,date,max_price,min_price,open_price,close_price
78,2025-03-21,174.0,146.0,159.0,167.0
79,2025-03-22,,,,
80,2025-03-23,,,,
81,2025-03-24,169.0,131.0,165.0,143.0
82,2025-03-25,151.0,127.0,151.0,133.0
83,2025-03-26,156.0,128.0,146.0,150.0
84,2025-03-27,154.0,131.0,152.0,147.0
85,2025-03-28,159.0,134.0,153.0,150.0
86,2025-03-29,,,,
87,2025-03-30,,,,
88,2025-03-31,157.0,129.0,149.0,146.0
89,2025-04-01,151.0,126.0,146.0,145.0
90,2025-04-02,160.0,127.0,127.0,156.0
91,2025-04-03,165.0,139.0,142.0,159.0
92,2025-04-04,170.0,136.0,161.0,155.0
93,2025-04-05,,,,
94,2025-04-06,,,,
95,2025-04-07,173.0,135.0,135.0,152.0
96,2025-04-08,170.0,143.0,151.0,163.0
97,2025-04-09,165.0,127.0,146.0,143.0
98,2025-04-10,148.0,125.0,139.0,142.0
99,2025-04-11,159.0,128.0,136.0,157.0
100,2025-04-12,,,,
101,2025-04-13,,,,
102,2025-04-14,159.0,125.0,138.0,139.0
103,2025-04-15,150.0,127.0,141.0,143.0
104,2025-04-16,161.0,130.0,145.0,142.0
105,2025-04-17,168.0,139.0,144.0,160.0
106,2025-04-18,,,,
107,2025-04-19,,,,
108,2025-04-20,,,,
109,2025-04-21,,,,
110,2025-04-22,189.0,159.0,164.0,182.0
111,2025-04-23,188.0,157.0,188.0,173.0
112,2025-04-24,177.0,148.0,177.0,154.0
113,2025-04-25,173.0,140.0,166.0,151.0
114,2025-04-26,,,,
115,2025-04-27,,,,
116,2025-04-28,182.0,140.0,158.0,173.0
117,2025-04-29,192.0,163.0,174.0,177.0
118,2025-04-30,200.0,169.0,187.0,195.0
119,2025-05-01,200.0,167.0,193.0,188.0
120,2025-05-02,206.0,166.0,176.0,201.0
121,2025-05-03,,,,
122,2025-05-04,,,,
123,2025-05-05,,,,
124,2025-05-06,227.0,188.0,227.0,200.0
125,2025-05-07,211.0,165.0,209.0,184.0
126,2025-05-08,188.0,158.0,178.0,179.0
127,2025-05-09,180.0,153.0,164.0,170.0
128,2025-05-10,,,,
129,2025-05-11,,,,
130,2025-05-12,180.0,152.0,173.0,168.0
131,2025-05-13,180.0,143.0,176.0,163.0
132,2025-05-14,165.0,130.0,161.0,141.0
133,2025-05-15,153.0,124.0,139.0,137.0
134,2025-05-16,146.0,120.0,142.0,136.0
135,2025-05-17,,,,
136,2025-05-18,,,,
137,2025-05-19,149.0,117.0,137.0,131.0
138,2025-05-20,150.0,126.0,143.0,145.0
139,2025-05-21,149.0,120.0,148.0,130.0
140,2025-05-22,140.0,116.0,130.0,128.0
141,2025-05-23,135.0,113.0,120.0,125.0
142,2025-05-24,,,,
143,2025-05-25,,,,
144,2025-05-26,,,,
145,2025-05-27,139.0,114.0,137.0,136.0
146,2025-05-28,137.0,107.0,120.0,121.0
147,2025-05-29,127.0,104.0,114.0,122.0
148,2025-05-30,125.0,100.0,115.0,112.0
149,2025-05-31,,,,
150,2025-06-01,,,,
151,2025-06-02,119.0,97.0,100.0,111.0
152,2025-06-03,118.0,97.0,99.0,109.0
153,2025-06-04,120.0,97.0,109.0,115.0
154,2025-06-05,119.0,99.0,115.0,108.0
155,2025-06-06,120.0,99.0,102.0,115.0
156,2025-06-07,,,,
157,2025-06-08,,,,
158,2025-06-09,121.0,99.0,103.0,114.0
159,2025-06-10,121.0,99.0,101.0,116.0
160,2025-06-11,119.0,97.0,105.0,108.0
161,2025-06-12,117.0,96.0,103.0,109.0
162,2025-06-13,117.0,96.0,98.0,106.0
163,2025-06-14,,,,
164,2025-06-15,,,,
165,2025-06-16,117.0,96.0,109.0,115.0
166,2025-06-17,117.0,95.0,103.0,109.0
167,2025-06-18,115.0,94.0,101.0,105.0
168,2025-06-19,113.0,94.0,107.0,109.0
169,2025-06-20,113.0,94.0,108.0,97.0
170,2025-06-21,,,,
171,2025-06-22,,,,
172,2025-06-23,113.0,93.0,108.0,108.0
173,2025-06-24,113.0,93.0,111.0,110.0
174,2025-06-25,114.0,93.0,96.0,104.0
175,2025-06-26,114.0,94.0,113.0,111.0
176,2025-06-27,113.0,93.0,106.0,111.0
177,2025-06-28,,,,
178,2025-06-29,,,,
179,2025-06-30,113.0,93.0,103.0,110.0
180,2025-07-01,114.0,93.0,94.0,107.0
